month;period_start;period_end;total_accidents;deaths;injuries;violations;fines_amount_billion;vehicles_seized
8/2024;15/07/2024;14/08/2024;1799;873;1272;350075;632940;104300
9/2024;15/08/2024;14/09/2024;1761;913;1238;361154;642640;121273
10/2024;15/09/2024;14/10/2024;1869;944;1299;382958;660710;134777
11/2024;15/10/2024;14/11/2024;1980;965;1418;403105;681830;133894
12/2024;15/11/2024;14/12/2024;2146;970;1602;326648;603730;101262
1/2025;26/12/2024;25/01/2025;1772;964;1138;262500;496832;73498
2/2025;15/01/2025;14/02/2025;1616;882;1131;266550;624620;75703
3/2025;15/02/2025;14/03/2025;1312;730;886;165216;380660;35107
4/2025;15/03/2025;14/04/2025;1568;860;1062;262500;496832;73498
5/2025;15/04/2025;14/05/2025;1524;853;1059;270160;633880;64056
6/2025;15/05/2025;14/06/2025;1487;875;949;294651;604520;57948
7/2025;15/06/2025;14/07/2025;1477;876;960;278733;509320;57697
8/2025;15/07/2025;14/08/2025;1439;815;945;313271;483960;69457
